title,Company_name,location,job_detail,content
Machine Learning Engineer (All levels),Deep Genomics,"Toronto, ON","Job type
Full-time","About Us
Founded in 2015, Deep Genomics is a drug development company that aims to revolutionize medicine by leveraging expertise in artificial intelligence (AI) and genome biology. We have built the world’s first, and by far the most advanced, AI platform that is able to untangle the enormous complexity of RNA biology and find the best targets, mechanisms, and molecules.

The thesis here at Deep Genomics is that everyone, at some point in their life, will face a genetic condition, whether Mendelian or complex, and we aim to be there for them with a genetically precise therapy. We take immense pride in our team of people whose backgrounds span a diverse range of disciplines including those found in a traditional biotechnology company, as well as machine learning, laboratory automation, and software engineering.

Ideal Candidate
Our predictive systems group brings together world-leading experts in biology, genomics, medicine, and machine learning. We are working on several ambitious projects to develop pioneering AI technology for understanding complex genetic diseases and enabling the discovery of novel targets as well as therapies. We are looking for an experienced machine learning engineer to lead the design and development of new models and pipelines and the infrastructure for scaling it up to the next level.
What You’ll Be Doing:
Working with our ML scientists to develop highly scalable models and algorithms for predicting molecular phenotypes using state-of-the-art neural network methodologies.
Developing evaluation, visualization, and productivity tools for streamlining machine learning research
Adapting our algorithms and architectures to best exploit modern cloud computing environments
Working with our software engineers, biologists and geneticists to operationalize and deploy research output to match the needs of stakeholders.
What You Bring:
Solid Engineering and Computer Science fundamentals, ideally with a degree in CS, Math, or equivalent experience.
Senior candidates should have experience in architecting, developing, and deploying large software systems in a leading position
Experience in building, testing, training, and deploying production-ready ML workflows.
Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience with frameworks like PyTorch, Caffe2, Tensorflow, Keras, JAX, Chainer, etc.
Experience in the operationalization of Machine Learning projects (MLOps) using at least one of the popular frameworks or platforms (e.g. Kubeflow, AWS Sagemaker, Google AI Platform, Azure Machine Learning).
What we offer:
Leading role in developing the future of drug development to cure genetically defined diseases.
A highly competitive salary and meaningful equity compensation.
Exceptional opportunities for learning and growth.
A bright, collegial, highly motivated team working at the intersection of the most exciting areas of science and technology.
Deep Genomics thanks all applicants, however only those selected for an interview will be contacted.

Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
Machine Learning Engineer,Future Fertility,"Toronto, ON","Job type
Full-time","Full Time
GTA, Toronto
Who we are:
Future Fertility is a Canadian start-up located in Toronto. We develop and market AI-enhanced software solutions in the high-growth market of Assisted Reproductive Technology (ART). We have been chosen by MaRS, North America’s largest urban innovation hub, to be showcased as one of their portfolio companies. We are trusted by some of the best IVF clinics in North America and Europe and have successfully raised a Series A financing round. The investment was led by M Ventures (the corporate venture capital arm of Merck KGaA, Darmstadt, Germany, a global fertility leader), with participation from Whitecap Venture Partners.
Insights yielded by this patented software technology will be invaluable to patients, clinicians, and researchers.
We continue to invest in developing further solutions to deliver on our goal for radically improved levels of insight for patients and clinicians by using artificial intelligence, and in so doing, substantially improve the experience and outcomes.
Who we are looking for:
An experienced Machine Learning Engineer to develop our next-generation image classification tool, using machine learning and computer vision techniques. You will be implementing algorithms by fast prototyping, converting them to production models and working with the development team to deploy the solution. This position requires excellent skills with Python and its machine learning and image processing libraries.
Working knowledge of Web development is a bonus.
What you’ll do:
Take ownership of the machine learning project from start to finish, which includes building data pipelines, designing, deploying & maintaining production quality ML models in collaboration with data scientists.
Data Acquisition, Cleaning, and Transformation in order to prepare training datasets.
Build, train, and evaluate image classification and segmentation models using different architectures and tools.
Benchmark, analyze and improve performance of existing algorithms, pre-processing and data augmentation strategies.
Turning prototyped computer vision algorithms into high performance product ready code.
Serve deep learning based computer vision models using the latest serving technologies.
Providing support to the dev team on integrating ML systems with our software stack.
Participate in sprint planning, estimation and reviews and take ownership of deliverables
Document all machine learning processes and findings in an organized manner
Qualification:
Bachelor or Master in Computer Science, Computer Engineering, Machine Learning, Statistics or Mathematics.
5+ years of experience in software development and data manipulation; Expertise writing code in Python
2+ years of experience in building and implementing production scale Machine Learning models in professional working environment
Extensive experience in PyTorch deep learning framework
Solid understanding of foundational statistics concepts and ML algorithms: linear/logistic regression, Random Forest, boosting, XGBM, k-NN, Naive Bayes, Decision Trees, SVM, etc.
Good theoretical as well as practical knowledge of deep learning architectures such as LSTM, RNN and CNN and Transformer based models
Algorithm and model development experience for large-scale applications.
Experience running accuracy experiments and systematically improving performance.
Familiarity with scientific computing libraries such as numpy, pandas, scikit and image processing libraries such as OpenCV and scikit-image.
Solid understanding and practical experience of containerizing Deep Learning models for deployment purposes in a scalable manner.
Experience with SQL and NoSQL databases and ETL tools.
Familiarity with Git.
Strong cross-team communication and collaboration skills. Comfortable being part of a small team of engineers working in an energetic fast paced start-up environment and effective as part of a distributed team.
Excellent written and verbal communication skills.
Attention to detail, data accuracy and quality of output.
Bonus points for:
Experience in image processing
Prior experience in applying image enhancement and segmentation on medical images and using image processing libraries
Have prior experience of MLOps such as MLFlow
Background in Life Science
Experience in privacy preserving or federated machine learning
Research publications in ML/AI-related fields
Job Features
Job Category
Machine Learning, Software Engineering

Please attach your resume
PDF or DOC up to 5Mbps

ML Experience
3-5 years"
Machine Learning Engineer,Citco,"Toronto, ON","Job type
Full-time","Machine Learning Engineer
Toronto, Canada

About Citco
Citco is a global leader in fund services, corporate governance and related asset services with staff across 80 offices worldwide. With more than $1 trillion in assets under administration, we deliver end-to-end solutions and exceptional service to meet our clients’ needs.
For more information about Citco, please visit www.citco.com
About the Team & Business Line:
Proprietary software solutions and innovation are at the core of what differentiates Citco in the alternative investment space. Through our network of global development centres, Citco invests heavily in technology development, security, and infrastructure to ensure our clients continue to receive award-winning products that underpin our commitment to service excellence.
As a core member of our Innovation IT team, you will work with dedicated professionals to ensure our clients maintain access to their critical information assets while keeping Citco ahead of industry trends.
Your Role:
Design, develop, and implement software solutions to support business requirements
Be involved in concept design, brainstorming, research, etc. required to create new solutions for consideration
Resolve technical issues through debugging, research, and investigation
Participate in performance/load tests, making recommendations to improve performance and scalability
Provide timely and effective solutions to critical production issues
Contribute to continuous integration and continuous deployment automation
Document solutions and keep knowledgebase up-to-date to support efficiencies
About You:
2 years' experience in python
2 years' experience with relationships databases
2 years' experience building Machine Learning models using sklearn and tensorflow
1 year experience in AWS or other cloud
Proficiency in designing and implementing cloud-based applications in AWS preferred
Experience with serverless architecture is a plus
Experience working with Linux shell scripting an asset
Must have strong communication skills and be able present diagnostic, troubleshooting steps and conclusions to a varied audience
Must be able to work with minimal supervision
Demonstrated expertise in supporting large-scale systems
Strong interpersonal and communication skills and ability to deal effectively in a team environment

Our Benefits
Your well-being is of paramount importance to us, and central to our success. We provide a range of benefits, training and education support, and flexible working arrangements to help you achieve success in your career while balancing personal needs. Ask us about specific benefits in your location.
We recognize diversity as a source of organizational pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the people we hire, and the culture we create in our organization.
Citco welcomes and encourages applications from people with disabilities. Accommodations are available upon request for candidates taking part in all aspects of the selection.

#LI-AR1"
DevOpsSec Engineer (remote),TelosTouch,"Toronto, ON","Job type
Full-time","TelosTouch is a Client Experience platform that converts key moments to meaningful results. With our TouchPoint technology, financial institutions increase the quality and frequency of client engagement to easily recommend the right solution, acquire new business and intervene in a timely manner.
Our clients include some of the world's largest financial institutions and we are growing quickly.
If you are looking to be part of a great team that is bringing clients and financial institutions closer together, we would love to talk to you.
Requirements
Role:
Contribute to automations and improvements of our Cloud Infrastructure, managing virtual machines, software delivery and health ops monitoring systems.
Participate in IT Operations, DevOps and Security projects.
Contribute to the development of large-scale projects within an agile process, ensuring robust and lasting solutions are implemented
Create deployment pipelines for our applications
Proactively support improvement of SOC2 technical and non-technical controls while ensuring their practices are in effect.
Integrate and instrument Compliance and Security tools in AWS Cloud. Maintain smoothness of operations with the passion for being hands-on; scripting and automating.
Improve Configuration and Vulnerability Assessment, Patch Management and Event monitoring/tracking systems.
Prepare documents and training materials to help both technical/non-technical audiences understand and practice the security shared responsibilities.
Assist with Internal and External Audits, security and risk assessment aspects as needed including vendor security assessment questionnaire/customer audit needs.
Requirement:
Have 1 - 3 years as a DevOps Engineer or similar software engineering role
Have self-initiative, patience and are communicative
Experienced with running and managing cloud environments and servers.
Knowledge of best practices and IT operations in an always-up, always-available service
Have the passion for continuous learning, improving and excelling in the field of DevOps, security and technology risk management. Always keep questioning what, why, when, where and how to optimize systems and processes with balanced costs/benefits considered.
Good to have experience with vulnerability scanning, assessment and patch management.
Are familiar with Cloud IAM, Networking and Application Security concepts and services.
Are familiar with threat modeling and cloud and applications security based on up to date industry standards (CIS/OWASP).
Nice to have, previous experiences working in Startups and Fintechs
Good written and verbal communication in English.
Benefits
Like-minded people working on worthy goals
Inclusive and respectful workplace
Knowledge share and mentorship
Competitive compensation package, including stock options
Leading edge hardware and software
Employee benefits program, including health and dental insurance
Team and skill-building activities
A great creative office in the downtown Toronto core (when the world opens up)
You can view our website here: www.telostouch.com
TelosTouch is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans' status, Aboriginal/Native American status or any other legally protected factors. Disability-related accommodations are available upon request during the application process, in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act."
Machine Learning Engineer,TD Bank,"Toronto, ON","Job type
Full-time","TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
We are looking for world-class engineers to tackle cutting-edge problems of applying Machine Learning (ML) in the real world. Working across TD and Layer 6, you will be part of a leading financial services brand, have access to some of the largest datasets and innovate with leading machine learning scientists and engineers. Unleash the power of Machine Learning by helping us engineer models that scale and are rapidly deployable and, in the process, positively impact millions of customers. The goal of the team is to develop framework and automation solutions to help build and deploy robust and high-performing models through introducing software engineering best-practices.
Job Description
As Machine Learning Engineer at TD, you will work with ML Scientists to learn their modelling workflow, so that you can design abstractions and build components that can be combined to build high quality models. You will work to develop and/or integrate tools that help with model monitoring, governance and explainability. You will work with ML Platform team to make sure these models can be trained and deployed on our computing infrastructure, taking advantage of cloud technologies like Azure Kubernetes and more.

Must-Have
Experience working on high-performance engineering teams and being part of cross-functional delivery teams
Experience with building and scaling data-intensive software in Python and compiled languages such as Java/C
You value good software design and sweat over details in code and API design
Knowledge of machine learning modelling workflow
You enjoy learning new technology and educating others
You strive to communicate clearly and with empathy
You take great personal pride in building robust and scalable software
You are highly accountable and have a strong sense of ownership
Ability to do detailed code reviews and give thoughtful feedback

Nice to have:
Experience building a library or a framework
Knowledge of machine learning algorithms
Experience with Azure cloud stack
Data analytics
Job Requirements
Experience and/or Education:
University or post-graduate degree
Strong academic background (e.g., computer science, engineering)
7 + years relevant experience
Additional Information
#datascientist #LI-Hybrid

Inclusiveness
At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.
Job Family
Advanced Analytics & Modelling
Job Category - Primary
Business Analysis / Reporting
Job Category(s)
Business Analysis / Reporting
Hours
37.5
Business Line
Corporate
Time Type
Full Time
Employment Type
Regular
Country
Canada
**Province/State (Primary)
Ontario
City (Primary)
Toronto
Work Location
50 Boulevard Cremazie West, TD Centre - North - 77 King Street West
ProvState 2
Quebec
City(s) 2
Montreal
Job Expires
05-Aug-2022"
Machine Learning Scientist / Engineer,Invision AI,"Toronto, ON","Job type
Full-time","We are a startup working on cutting-edge machine learning and computer vision. We have market leading products in autonomous rail systems, vehicle occupancy detection and camera analytics for smart cities. We strive to create accurate algorithms that solve our problems efficiently and in a principled manner. If you like solving interesting and challenging problems and writing clean and lean code, keep reading.
As a Machine Learning Scientist Engineer, you will work on projects in machine learning, image processing and real-time video processing. You will be responsible for creating and expanding key capabilities in 3-D Object Detection, geo-localized Tracking, sensor fusion and federated learning.
We hope to teach you as much as we will learn from you. We expect that you take initiative, ownership and demonstrate strong leadership. Our culture is open and collaborative. We listen. We need smart and creative people, People who love new initiatives, to improve, to learn from their mistakes. If this appeals to you, we would love to hear from you.
Responsibilities
Develop our core CV and ML technology (3-D Detection, geo-localized Tracking, federated learning)
Contribute to building our CV and ML platform
Attend business and lead technical meetings with clients
Estimate scope, duration, effort and risk on project proposals.
Mentor and share knowledge with others
Requirements
Ph.D. in Machine Learning or related field.
Experience with DNNs, CNNs and RNNs
Experience with Image Processing, Computer Vision
5+ years of C, C++, Python
Strong architectural / object-oriented design skills
Publications in top tier conferences and journals (ICCV, ECCV, CVPR, NIPS, TPAMI)
Qualifications and Skills Required
Ph.D. in Machine Learning or related field.
Experience with DNNs, CNNs and RNNs
Experience with Image Processing, Computer Vision
5+ years of C, C++ or Python
Strong architectural / object-oriented design skills
Publications in top tier conferences and journals (ICCV, ECCV, CVPR, NIPS, TPAMI)
Beneficial
Experience with Neural Network Compression
Experience with Signal Processing
Experience with GPU Programming
Good working knowledge of embedded systems
Experience with Radar and Lidar
Benefits
Competitive compensation including equity
RRSP Plan
Health and Dental
4 weeks holiday
Opportunities for growth
About Invision AI
Based in Toronto downtown with offices in Switzerland, Invision AI enables edge devices, such as remote cameras and other sensors in the field, to interpret the world around them without relying on costly hardware or cloud connections. We provide real-world three-dimensional situational awareness - including 3-D detection, geo-localized tracking across sensors and sensor fusion. Invision is designed for applications where speed, cost and privacy are paramount. We are deploying products targeting smart roads, smart cities and autonomous rail. Invision AI is a privately-owned North American company founded in 2017. Headquartered in Toronto, Canada, with offices in Lausanne, Switzerland, Invision AI is reshaping Intelligent Infrastructure and Transportation. For more information, visit www.invision.ai"
Machine Learning Engineer,Moneris Solutions,"Toronto, ON","Job type
Full-time","Who we are
Moneris was created as a joint investment between RBC and BMO Bank of Montreal (including Harris Bank) in December 2000. By maintaining the tradition of security and strength of our parent banks, today we are Canada's #1 processor, and one of North America's largest.
We are re-imagining commerce and shaping the future of FinTech. To do that, we empower our teams to redefine what's possible, enable them with the right tools and resources, and support them every step of the way.
Connect. Impact. Grow. Join one of Canada's top employers and make your mark at Moneris.
What you'll do

Applies and integrates statistical, mathematical, predictive modeling and business analysis skills to help enhance our current fraud rules while building, deploying, and maintaining advanced analytical solutions with the goal of increasing our overall fraud detection, reducing false positive alerts, and minimizing total cost of fraud

What you bring
Manipulate data to perform analysis, including querying data, defining metrics, or analyzing data to evaluate a hypothesis
Manage machine learning model life cycle through model audit, back testing, forward testing, benchmarking with the help of performance metrics
Build machine learning/deep learning models that detect risk activity
Conduct exploratory data analysis, supervised, unsupervised and semi-supervised machine learning to identify fraud trend, segment and clusters, and optimization opportunity
Researching and evaluating new model architectures which improve the accuracy of our prediction models
Collaborate with business leaders, subject matter experts, and decision makers to develop success criteria
Cooperate with cross-functional teams across the organization in finding insights and developing the right data solutions.
Collaborating with our data science team for statistical analysis on which machine learning approach to use, including the modeling of the algorithm and prototype for testing.
Must-have experience, knowledge, skills & abilities
Bachelor's degree required, Master's degree preferred in Software Engineering, Computer Science; or equivalent work experience in a Technology or business environment
Minimum of 7 years experience working in software development, design, business intelligence environments, and / or data architecture environments
Minimum of 3 years experience working in applied Machine learning or Deep learning
Full proficiency with multiple programming languages and / or database management and modelling.
Excellent verbal and written communication skills.
Highly proficient in leading large scale projects or significant project steps and communicating progress/approach with technical/non-technical peers/clients and leaders.
Proficiency in payment systems and the merchant acquiring business is an asset
What you get
The chance to be part of one of Canada’s top employers and leader in FinTech
Competitive pay and annual bonus program based on individual performance and productivity
Emphasis on Wellness - Meeting Free Fridays (MF2), company-wide holiday closure, just to name a few
RRSP matching & defined contribution pension plan
Flexible benefits package starting from day 1
Thrive in a Hybrid or Remote Model - including a tech peripheral rebate!
Extensive learning & development programs and resources - plus unlimited free access to LinkedIn Learning and Udemy courses!
Lots of opportunities to advance your career – 30% of Moneris' roles are filled internally
EAP (Employee Assistance Program), Educational Assistance and Recognition Program
Employee perk program with incredible discounts for over 2,400 vendors!
Get involved in one or many of our Moneris Committees and Employee Resource Groups - Inclusive Workplace Council (IWC), Black Employee Network, just to name a few

Who you'll work with
Our Technology team's goal is to connect ideas and technology to create solutions that shape the way people pay. Connection is in our DNA, and we are a team enabling our merchants, business partners, and each other with the tools we need to thrive. We're a team of over 400+ people, broken into six functions, who oversee all technology aspects at Moneris, including software, infrastructure engineering, cyber security, data analytics, and project management.

Learn more about how Moneris is striving to be at the forefront of Fintech!
To reduce the risk of COVID-19 transmission and to facilitate a safe return to the office for all employees, clients and vendors, Moneris has developed a vaccination standard that requires all employees and contract resources to be fully vaccinated in order to attend company premises, company events or conduct business travel on behalf of Moneris (and provide proof). Bona fide exemptions may be requested in accordance with legally protected grounds.
Note: We welcome and encourage applications from Indigenous people, people of colour, people with disabilities, people of all genders, sexual orientation and intersectional identities."
Machine Learning Engineer,Basetwo,"Toronto, ON","Job type
Full-time","About Us
We're on a mission to make manufacturing more resilient.

Basetwo provides manufacturing engineers with a no code AI platform that helps them troubleshoot and optimize their production processes to increase efficiency and reduce waste. Without writing a single line of code, manufacturing engineers can use the Basetwo platform to:
improve their understanding of their plant
make better decisions in real-time
build robust data transformation pipelines
ingest and connect siloed databases
The Role
Physics-informed Machine Learning is at the heart of the Basetwo platform, and the founding team is looking to bring on a world-class expert in Machine Learning who will be able to make significant technical contributions from data pipelines all the way up to the intelligence layer.
The Machine Learning Engineer will be responsible for deploying and scaling cutting-edge physics-informed machine learning models. Our ideal candidate will partner with Software Engineers, Product Managers and Data Scientists to scale ML solutions on the cloud.
Requirements
What You'll Do
As a Machine Learning Engineer, you will be responsible for:

Deploying and monitoring large-scale machine learning solutions in production environments for training and inference
Productionizing research-grade ML code with a focus on simulation, regression, time series forecasting and optimization.
Developing MLOps infrastructure for model governance, serving, monitoring and retraining.
Collaborating with cross-functional teams to support product roadmaps for Machine Learning driven solutions
Setting up and promoting rigorous processes for code review, data quality assessment and engineering reviews.
What You'll Need
To be successful in this role you will have:
BS or MS in Computer Science or equivalent
3+ years of experience in Machine Learning roles
Strong software engineering skills, troubleshooting and integration skills.
DevOps/MLOps experience, working experience with Kubernetes, docker, microservices, containerization and deploying software in the cloud.
Experience with data modelling, data streaming, data transformation, modern data stores
Experience with Python data stack: dataframes (pandas), statistics (statsmodels), database languages (SQL), data visualization tools (e.g., matplotlib), ML tools (sk-learn, pytorch, etc.), and scientific computing (i.e. scipy)
You have a disciplined approach to writing unit and integration tests.
Experience working with major cloud technologies (AWS, Azure, and GCP)
Benefits
Extended Healthcare Plan (Medical, Disability, Dental & Vision)
Work From Home - Flexible hours
Stock Option Plan
Group Life - AD&D - Critical Illness Insurance
Paid Time Off Benefits"
"Front End Engineer I - 2022 , Advertising","AMZN CAN Fulfillment Svcs, ULC","Toronto, ON","Job type
Full-time","Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS

Job summary
We work in some of the most exciting computer science domains. We are managing massive scale streaming systems, applying machine learning and data science to drive optimizations and insights while building a scalable front-end infrastructure. We help internal and external advertisers to deeply understand their customers and markets.

We’re looking for experienced, motivated front end engineers with a proven track record of developing complex front end products. The ideal candidate will be innovative, have great problem solving, analytical and technical skills. You have a deep understanding of software development in an agile team environment. You demonstrate exceptional customer relationships skills and love to discover the true requirements underlying feature requests. You enjoy simplifying complex problems and tackling tough challenges.

Experience developing front-end software, with deep experience in one or more relevant front-end frameworks (React, NodeJs, advanced CSS etc.)
Experience with Javascript, HTML, CSS, and web standards.
Experience influencing professional software engineering practices for shipping and supporting great software services
Delivered a low-latency, consumer-internet-scale web services operating in a 24x7 environment.
Track record of shipping software in large scale production systems
Exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter."
Research Engineer,OutPoint Inc,"Toronto, ON","Salary
$100,000–$120,000 a year","OutPoint is solving the most impactful and challenging problems in the world of consumer growth modelling.
In our industry, we are
Building a next-gen system for media mix modelling across online and offline paid media channels
Identifying the impact of ""non-marketing"" factors on performance (seasonality, competitor behaviour, etc.) and making that explainable
Building tools to improve growth effectiveness in addition to modelling efficiency
Building models from data-network effects in order to run experiments with 0 cost
With OutPoint, brands can simulate optimal paid media mix across current and new paid growth channels to achieve higher revenues, lower costs, or both.

Why OutPoint?
At OutPoint, you'll get the benefits of solving hard growth problems in the exciting consumer product world (think eCommerce, fintech, mobile) while tackling hard production machine learning, data, and engineering problems.

Impactful engineering problems we're solving
OutPoint is solving the most impactful and challenging problems in the world of growth:
The key engineering problems we are working on:
Growth models-as-a-service: we provide our customers with an end-to-end Data Science suite for scaling paid growth efforts. We are perfecting this process from API integration to infrastructure management to model explainability.
Novel product experiences: telling a story around how a business can grow and spend their dollars to scale is a high-trust, high-consideration exercise. We spend time building meaningful product experiences for our customers while staying true to rigorous data science and sound economics.
Production Machine Learning: we understand that useful systems are not constructed from theories alone. We are building a very broadly horizontally-scaled system to reliably and securely deliver the benefits of machine learning to as many customers as possible. To do this we are building out an ecosystem for repeatable model training, maintenance, validation, and deployment. Check out our CTO Sean Billing's post on Three Types of Production Machine Learning

About The Role

OutPoint is hiring a research engineer to help us with several key functions:
Delivery of modelling for customers
Ongoing research into Media Mix Modelling and incrementality
Model validation and optimization processes
Research Engineer has many different meanings that vary from company to company - for us, a research engineer will primarily build ML and data systems, but also be able to undertake impactful research exercises in the more quantitative areas of our product domain.
Ideal Tech Stack:
Data: Python, Torch, Sklearn, Pandas
Infrastructure: AWS, Airflow, Docker
Requirements
1+ years of relevant work experience
Proven ability to solve complex research problems
Research experience with machine learning, statistics, or econometric systems
Experience with Python and ML libraries
Familiarity with data orchestration and pipeline management
College degree or college equivalent
Ideal Candidate:
Masters degree
Research experience with a relevant university, lab, or organization
Plus:
PhD in Statistics, Mathematics, Physics, or Computer Science
More on our values: https://www.outpoint.app/careers
More on our mission: https://www.outpoint.app/how-does-outpoint-work
Benefits
Opportunity to work on real-world + high-impact modelling problems
Competitive flexible benefits package
Remote friendly (but with an office space in the heart of downtown Toronto)
Informal unlimited vacation policy
Company hardware and access to AWS credits


Employment Type

Full-time
Salary: $100K-$120K
Equity: 0.5%-1%
Full-time benefits
Flexible vacation policy"
